Date,Close,Open,High,Low,Volume,% Thay đổi
2024-06-20,602000.0,580000.0,602000.0,580000.0,8630.0,3.79%
2024-06-21,600000.0,600000.0,615000.0,597500.0,8500.0,-0.33%
2024-06-24,602100.0,630000.0,630000.0,602100.0,1180.0,0.35%
2024-06-25,589000.0,602000.0,610000.0,585100.0,990.0,-2.18%
2024-06-26,590000.0,592000.0,592000.0,588000.0,1980.0,0.17%
2024-06-27,589500.0,590000.0,590000.0,589400.0,3530.0,-0.08%
2024-06-28,576100.0,586000.0,586000.0,576100.0,760.0,-2.27%
2024-07-01,575000.0,576100.0,578000.0,570000.0,2130.0,-0.19%
2024-07-02,569900.0,578000.0,578000.0,569900.0,480.0,-0.89%
2024-07-03,585900.0,585900.0,585900.0,585900.0,230.0,2.81%
2024-07-04,567500.0,580000.0,580000.0,567000.0,370.0,-3.14%
2024-07-05,553000.0,566100.0,566100.0,550000.0,2130.0,-2.56%
2024-07-08,570000.0,569900.0,570000.0,569900.0,350.0,3.07%
2024-07-09,609000.0,569900.0,620000.0,569900.0,1570.0,6.84%
2024-07-10,590000.0,590000.0,590000.0,590000.0,350.0,-3.12%
2024-07-11,575100.0,561200.0,580000.0,561200.0,470.0,-2.53%
2024-07-12,574100.0,585900.0,585900.0,574100.0,1330.0,-0.17%
2024-07-16,560000.0,550000.0,560000.0,546100.0,600.0,-2.46%
2024-07-17,555000.0,560000.0,568000.0,555000.0,990.0,-0.89%
2024-07-18,550100.0,550100.0,550100.0,550100.0,140.0,-0.88%
2024-07-19,550000.0,550100.0,550100.0,550000.0,710.0,-0.02%
2024-07-22,550000.0,546100.0,550000.0,546100.0,840.0,0.00%
2024-07-23,546600.0,546600.0,546600.0,546600.0,1170.0,-0.62%
2024-07-24,542000.0,546000.0,546000.0,541000.0,720.0,-0.84%
2024-07-25,544000.0,544000.0,544000.0,544000.0,250.0,0.37%
2024-07-26,555000.0,545000.0,555000.0,545000.0,1620.0,2.02%
